"count","slice_num","gene","coord_x","coord_y"
10,29,"Slc17a7",3.48596003557024,4.94653364417587
1,29,"Vip",3.48596003557024,4.94653364417587
1,29,"Tac2",4.06262687399767,5.04005889375316
1,29,"Slc17a7",4.06262687399767,5.04005889375316
2,29,"Slc17a7",3.50227720527246,4.95687021232181
1,29,"Pvalb",6.83440919696113,5.00888109772495
1,29,"Tac2",6.83440919696113,5.00888109772495
13,29,"Slc17a7",6.83440919696113,5.00888109772495
2,29,"Pvalb",3.6912090630185,5.01411110141135
11,29,"Slc17a7",3.6912090630185,5.01411110141135
6,29,"Tac2",4.17600638140201,5.01959564457504
4,29,"Slc17a7",4.17600638140201,5.01959564457504
2,29,"Tac2",3.72741660073324,4.89921264814472
23,29,"Slc17a7",3.72741660073324,4.89921264814472
24,29,"Slc17a7",7.17380945541674,4.97129177034021
11,29,"Slc17a7",3.92199665162416,5.07236115305508
1,29,"Pvalb",3.39057472872528,4.90089852119203
42,29,"Slc17a7",3.39057472872528,4.90089852119203
3,29,"Pvalb",7.11112600119476,5.06365544550441
27,29,"Slc17a7",7.11112600119476,5.06365544550441
32,29,"Slc17a7",7.12451556798818,5.06439924661333
1,29,"Pvalb",7.68619153659421,4.89165015463189
9,29,"Slc17a7",7.68619153659421,4.89165015463189
2,29,"Tac2",3.25243012842313,4.82050780102665
4,29,"Slc17a7",3.25243012842313,4.82050780102665
18,29,"Slc17a7",7.75293594816339,4.85576806000255
1,29,"Pvalb",7.67074948289098,4.89665533178136
1,29,"Tac2",7.67074948289098,4.89665533178136
13,29,"Slc17a7",7.67074948289098,4.89665533178136
14,29,"Slc17a7",7.08065822979775,5.00517165365602
5,29,"Slc17a7",6.87971100319347,5.02134832729533
1,29,"Vip",6.87971100319347,5.02134832729533
5,29,"Slc17a7",3.93534642368257,5.07385155904653
1,29,"Pvalb",7.1372100869693,4.99343124979863
25,29,"Slc17a7",7.1372100869693,4.99343124979863
1,29,"Tac2",7.30532476447612,5.04615043728174
61,29,"Slc17a7",7.30532476447612,5.04615043728174
1,29,"Pvalb",3.17066138049768,4.7906198113579
