"count","bin","celltype","gene","mouse","cell_num","hemisphere","age"
0,100,"Glut","BCL11B","1","1527462100078100091","left","12"
0,99,"GABA","BCL11B","1","1527462100078100102","left","12"
0,93,"Glut","BCL11B","1","1527462100126100129","left","12"
0,98,"Glut","BCL11B","1","1527462100126100137","left","12"
0,88,"Glut","BCL11B","1","1527462100126100170","left","12"
0,96,"GABA","BCL11B","1","1527462100126100176","left","12"
0,87,"Glut","BCL11B","1","1527462100126100189","left","12"
0,95,"Glut","BCL11B","1","1527462100126100203","left","12"
0,84,"Glut","BCL11B","1","1527462100126100208","left","12"
1,88,"Glut","BCL11B","1","1527462100126100212","left","12"
0,87,"Glut","BCL11B","1","1527462100126100224","left","12"
0,90,"Glut","BCL11B","1","1527462100126100225","left","12"
0,83,"Glut","BCL11B","1","1527462100126100226","left","12"
0,83,"Glut","BCL11B","1","1527462100126100233","left","12"
0,81,"Glut","BCL11B","1","1527462100126100238","left","12"
0,79,"Glut","BCL11B","1","1527462100126100240","left","12"
0,86,"Glut","BCL11B","1","1527462100126100255","left","12"
0,84,"Glut","BCL11B","1","1527462100126100257","left","12"
2,81,"Glut","BCL11B","1","1527462100126100259","left","12"
0,80,"GABA","BCL11B","1","1527462100126100264","left","12"
1,81,"Glut","BCL11B","1","1527462100126100271","left","12"
0,84,"Glut","BCL11B","1","1527462100126100283","left","12"
0,76,"Glut","BCL11B","1","1527462100126100286","left","12"
0,75,"Glut","BCL11B","1","1527462100126100287","left","12"
0,80,"Glut","BCL11B","1","1527462100126100288","left","12"
0,82,"Glut","BCL11B","1","1527462100126100293","left","12"
0,80,"Glut","BCL11B","1","1527462100126100294","left","12"
1,77,"Glut","BCL11B","1","1527462100126100296","left","12"
0,77,"GABA","BCL11B","1","1527462100126100297","left","12"
1,82,"Glut","BCL11B","1","1527462100126100299","left","12"
0,81,"Glut","BCL11B","1","1527462100126100300","left","12"
1,99,"Glut","BCL11B","1","1527462100127100016","left","12"
0,99,"Glut","BCL11B","1","1527462100127100017","left","12"
0,99,"Glut","BCL11B","1","1527462100127100025","left","12"
0,99,"Glut","BCL11B","1","1527462100127100026","left","12"
0,97,"GABA","BCL11B","1","1527462100127100028","left","12"
0,98,"Glut","BCL11B","1","1527462100127100031","left","12"
0,96,"Glut","BCL11B","1","1527462100127100035","left","12"
0,97,"Glut","BCL11B","1","1527462100127100045","left","12"
0,96,"Glut","BCL11B","1","1527462100127100046","left","12"
0,96,"GABA","BCL11B","1","1527462100127100047","left","12"
0,96,"Glut","BCL11B","1","1527462100127100056","left","12"
0,93,"Glut","BCL11B","1","1527462100127100060","left","12"
0,95,"Glut","BCL11B","1","1527462100127100064","left","12"
0,96,"Glut","BCL11B","1","1527462100127100066","left","12"
1,94,"Glut","BCL11B","1","1527462100127100067","left","12"
0,94,"Glut","BCL11B","1","1527462100127100071","left","12"
0,100,"Glut","BCL11B","1","1527462100127100072","left","12"
0,95,"Glut","BCL11B","1","1527462100127100073","left","12"
1,93,"Glut","BCL11B","1","1527462100127100075","left","12"
0,95,"Glut","BCL11B","1","1527462100127100080","left","12"
0,92,"Glut","BCL11B","1","1527462100127100081","left","12"
0,92,"Glut","BCL11B","1","1527462100127100083","left","12"
0,98,"Glut","BCL11B","1","1527462100127100086","left","12"
0,92,"Glut","BCL11B","1","1527462100127100087","left","12"
0,95,"Glut","BCL11B","1","1527462100127100097","left","12"
0,92,"Glut","BCL11B","1","1527462100127100100","left","12"
0,92,"Glut","BCL11B","1","1527462100127100101","left","12"
0,92,"Glut","BCL11B","1","1527462100127100103","left","12"
0,91,"Glut","BCL11B","1","1527462100127100105","left","12"
0,90,"Glut","BCL11B","1","1527462100127100106","left","12"
0,95,"Glut","BCL11B","1","1527462100127100111","left","12"
0,91,"GABA","BCL11B","1","1527462100127100113","left","12"
0,89,"Glut","BCL11B","1","1527462100127100118","left","12"
0,88,"Glut","BCL11B","1","1527462100127100122","left","12"
0,88,"Glut","BCL11B","1","1527462100127100125","left","12"
0,89,"Glut","BCL11B","1","1527462100127100128","left","12"
0,88,"Glut","BCL11B","1","1527462100127100131","left","12"
1,87,"Glut","BCL11B","1","1527462100127100138","left","12"
0,88,"Glut","BCL11B","1","1527462100127100140","left","12"
0,88,"Glut","BCL11B","1","1527462100127100142","left","12"
0,92,"Glut","BCL11B","1","1527462100127100144","left","12"
0,88,"Glut","BCL11B","1","1527462100127100145","left","12"
0,87,"Glut","BCL11B","1","1527462100127100146","left","12"
1,88,"Glut","BCL11B","1","1527462100127100149","left","12"
1,86,"Glut","BCL11B","1","1527462100127100150","left","12"
1,87,"Glut","BCL11B","1","1527462100127100154","left","12"
0,88,"Glut","BCL11B","1","1527462100127100155","left","12"
0,85,"Glut","BCL11B","1","1527462100127100160","left","12"
1,84,"Glut","BCL11B","1","1527462100127100163","left","12"
0,86,"Glut","BCL11B","1","1527462100127100164","left","12"
0,88,"Glut","BCL11B","1","1527462100127100167","left","12"
0,88,"Glut","BCL11B","1","1527462100127100173","left","12"
0,84,"Glut","BCL11B","1","1527462100127100176","left","12"
0,84,"Glut","BCL11B","1","1527462100127100177","left","12"
0,84,"Glut","BCL11B","1","1527462100127100178","left","12"
0,87,"Glut","BCL11B","1","1527462100127100179","left","12"
1,87,"Glut","BCL11B","1","1527462100127100180","left","12"
0,84,"Glut","BCL11B","1","1527462100127100181","left","12"
0,83,"Glut","BCL11B","1","1527462100127100182","left","12"
0,83,"Glut","BCL11B","1","1527462100127100184","left","12"
0,83,"Glut","BCL11B","1","1527462100127100186","left","12"
1,83,"Glut","BCL11B","1","1527462100127100187","left","12"
0,83,"Glut","BCL11B","1","1527462100127100191","left","12"
0,83,"Glut","BCL11B","1","1527462100127100192","left","12"
0,82,"Glut","BCL11B","1","1527462100127100197","left","12"
0,81,"Glut","BCL11B","1","1527462100127100201","left","12"
1,81,"Glut","BCL11B","1","1527462100127100204","left","12"
0,85,"Glut","BCL11B","1","1527462100127100205","left","12"
0,82,"Glut","BCL11B","1","1527462100127100206","left","12"
0,81,"Glut","BCL11B","1","1527462100127100209","left","12"
0,85,"Glut","BCL11B","1","1527462100127100212","left","12"
0,84,"Glut","BCL11B","1","1527462100127100216","left","12"
0,80,"Glut","BCL11B","1","1527462100127100217","left","12"
0,82,"Glut","BCL11B","1","1527462100127100218","left","12"
0,81,"Glut","BCL11B","1","1527462100127100222","left","12"
0,80,"Glut","BCL11B","1","1527462100127100226","left","12"
0,81,"Glut","BCL11B","1","1527462100127100229","left","12"
1,80,"Glut","BCL11B","1","1527462100127100230","left","12"
0,82,"Glut","BCL11B","1","1527462100127100232","left","12"
0,80,"Glut","BCL11B","1","1527462100127100234","left","12"
0,82,"Glut","BCL11B","1","1527462100127100236","left","12"
0,82,"Glut","BCL11B","1","1527462100127100238","left","12"
0,77,"Glut","BCL11B","1","1527462100127100239","left","12"
0,79,"Glut","BCL11B","1","1527462100127100245","left","12"
1,80,"Glut","BCL11B","1","1527462100127100246","left","12"
0,78,"Glut","BCL11B","1","1527462100127100247","left","12"
0,82,"Glut","BCL11B","1","1527462100127100250","left","12"
0,78,"Glut","BCL11B","1","1527462100127100251","left","12"
0,77,"Glut","BCL11B","1","1527462100127100253","left","12"
0,78,"Glut","BCL11B","1","1527462100127100254","left","12"
1,79,"Glut","BCL11B","1","1527462100127100255","left","12"
0,77,"Glut","BCL11B","1","1527462100127100256","left","12"
0,76,"Glut","BCL11B","1","1527462100127100257","left","12"
0,78,"Glut","BCL11B","1","1527462100127100258","left","12"
1,80,"Glut","BCL11B","1","1527462100127100260","left","12"
0,80,"Glut","BCL11B","1","1527462100127100261","left","12"
0,76,"Glut","BCL11B","1","1527462100127100262","left","12"
0,77,"Glut","BCL11B","1","1527462100127100266","left","12"
1,76,"Glut","BCL11B","1","1527462100127100268","left","12"
0,80,"Glut","BCL11B","1","1527462100127100269","left","12"
0,76,"Glut","BCL11B","1","1527462100127100271","left","12"
0,76,"Glut","BCL11B","1","1527462100127100272","left","12"
0,77,"GABA","BCL11B","1","1527462100127100273","left","12"
0,76,"Glut","BCL11B","1","1527462100127100276","left","12"
0,76,"Glut","BCL11B","1","1527462100127100278","left","12"
0,93,"Glut","BCL11B","1","1527462100127200075","left","12"
0,81,"Glut","BCL11B","1","1527462100127200201","left","12"
0,100,"Glut","BCL11B","1","1527462100128100041","left","12"
1,93,"Glut","BCL11B","1","1527462100128100042","left","12"
0,99,"Glut","BCL11B","1","1527462100128100043","left","12"
0,98,"Glut","BCL11B","1","1527462100128100051","left","12"
0,98,"Glut","BCL11B","1","1527462100128100054","left","12"
0,98,"Glut","BCL11B","1","1527462100128100060","left","12"
0,98,"GABA","BCL11B","1","1527462100128100061","left","12"
0,98,"Glut","BCL11B","1","1527462100128100062","left","12"
0,98,"Glut","BCL11B","1","1527462100128100064","left","12"
0,98,"Glut","BCL11B","1","1527462100128100065","left","12"
0,91,"Glut","BCL11B","1","1527462100128100066","left","12"
0,98,"Glut","BCL11B","1","1527462100128100074","left","12"
0,95,"Glut","BCL11B","1","1527462100128100078","left","12"
1,95,"Glut","BCL11B","1","1527462100128100079","left","12"
0,97,"Glut","BCL11B","1","1527462100128100082","left","12"
0,89,"GABA","BCL11B","1","1527462100128100083","left","12"
0,97,"Glut","BCL11B","1","1527462100128100086","left","12"
0,97,"Glut","BCL11B","1","1527462100128100089","left","12"
0,96,"Glut","BCL11B","1","1527462100128100094","left","12"
0,94,"Glut","BCL11B","1","1527462100128100095","left","12"
0,94,"Glut","BCL11B","1","1527462100128100096","left","12"
0,88,"Glut","BCL11B","1","1527462100128100097","left","12"
0,87,"Glut","BCL11B","1","1527462100128100098","left","12"
1,94,"Glut","BCL11B","1","1527462100128100099","left","12"
0,97,"Glut","BCL11B","1","1527462100128100103","left","12"
0,94,"Glut","BCL11B","1","1527462100128100106","left","12"
1,90,"Glut","BCL11B","1","1527462100128100115","left","12"
0,92,"Glut","BCL11B","1","1527462100128100124","left","12"
0,89,"Glut","BCL11B","1","1527462100128100130","left","12"
0,89,"Glut","BCL11B","1","1527462100128100131","left","12"
0,90,"Glut","BCL11B","1","1527462100128100133","left","12"
0,90,"Glut","BCL11B","1","1527462100128100135","left","12"
0,90,"Glut","BCL11B","1","1527462100128100139","left","12"
0,83,"Glut","BCL11B","1","1527462100128100143","left","12"
0,87,"Glut","BCL11B","1","1527462100128100145","left","12"
0,91,"Glut","BCL11B","1","1527462100128100146","left","12"
1,88,"Glut","BCL11B","1","1527462100128100149","left","12"
1,89,"Glut","BCL11B","1","1527462100128100150","left","12"
0,89,"Glut","BCL11B","1","1527462100128100153","left","12"
0,87,"Glut","BCL11B","1","1527462100128100154","left","12"
0,95,"Glut","BCL11B","1","1527462100128100156","left","12"
0,88,"Glut","BCL11B","1","1527462100128100159","left","12"
0,86,"Glut","BCL11B","1","1527462100128100161","left","12"
0,81,"Glut","BCL11B","1","1527462100128100163","left","12"
0,87,"Glut","BCL11B","1","1527462100128100164","left","12"
0,81,"Glut","BCL11B","1","1527462100128100166","left","12"
0,87,"Glut","BCL11B","1","1527462100128100169","left","12"
0,91,"GABA","BCL11B","1","1527462100128100170","left","12"
1,85,"Glut","BCL11B","1","1527462100128100171","left","12"
1,80,"Glut","BCL11B","1","1527462100128100172","left","12"
0,85,"Glut","BCL11B","1","1527462100128100175","left","12"
1,86,"Glut","BCL11B","1","1527462100128100176","left","12"
0,84,"Glut","BCL11B","1","1527462100128100177","left","12"
0,84,"Glut","BCL11B","1","1527462100128100179","left","12"
0,85,"Glut","BCL11B","1","1527462100128100181","left","12"
0,86,"Glut","BCL11B","1","1527462100128100182","left","12"
0,84,"Glut","BCL11B","1","1527462100128100184","left","12"
0,84,"Glut","BCL11B","1","1527462100128100185","left","12"
0,84,"Glut","BCL11B","1","1527462100128100187","left","12"
1,79,"Glut","BCL11B","1","1527462100128100189","left","12"
0,83,"Glut","BCL11B","1","1527462100128100190","left","12"
0,83,"Glut","BCL11B","1","1527462100128100191","left","12"
0,88,"Glut","BCL11B","1","1527462100128100194","left","12"
3,83,"GABA","BCL11B","1","1527462100128100195","left","12"
0,83,"Glut","BCL11B","1","1527462100128100197","left","12"
0,83,"Glut","BCL11B","1","1527462100128100198","left","12"
