"","parameter","estimate","CI.low","CI.high","p.value","p.value.adj","alpha.adj","significance"
"1","baseline_cortex_Rt_Bcl11b_Tns/Blk1",3.68898163345847,3.53703508348416,3.80350310978248,0,0,0.000219298245614035,"***"
"2","beta_Rt_cortex_Bcl11b_right_X_Tns/Blk1",0.0622175175335473,-0.116543147054087,0.205243338449521,0.212279293739968,11.2508025682183,0.000943396226415094,"ns"
"3","beta_Rt_cortex_Bcl11b_18_X_Tns/Blk1",0.643807812113535,0.501518515848288,0.79483768854239,0,0,0.000220264317180617,"***"
"4","beta_Rt_cortex_Bcl11b_right18_X_Tns/Blk1",-0.0662358364011312,-0.230975399744807,0.151916992577146,0.283707865168539,13.0505617977528,0.00108695652173913,"ns"
"5","baseline_cortex_Rt_Bcl11b_Tns/Blk2",2.38026653493709,2.21553799749767,2.45704225023133,0,0,0.000221238938053097,"***"
"6","beta_Rt_cortex_Bcl11b_right_X_Tns/Blk2",0.0707729100028211,-0.0924374088187418,0.223852347609648,0.14145264847512,8.48715890850722,0.000833333333333333,"ns"
"7","beta_Rt_cortex_Bcl11b_18_X_Tns/Blk2",0.37827719722642,0.126221671963241,0.57050427960114,0,0,0.000222222222222222,"***"
"8","beta_Rt_cortex_Bcl11b_right18_X_Tns/Blk2",-0.339990588995207,-0.604634733997469,-0.0523188521363075,0,0,0.000223214285714286,"***"
"9","baseline_cortex_Rt_Cux2_Tns/Blk1",2.67370200036,2.53845414581432,2.7258876199411,0,0,0.000224215246636771,"***"
"10","beta_Rt_cortex_Cux2_right_X_Tns/Blk1",0.125209743353194,-0.0226434284010299,0.253134120886836,0.0024077046548957,0.30818619582665,0.000390625,"ns"
"11","beta_Rt_cortex_Cux2_18_X_Tns/Blk1",0.532589030197223,0.321608815861999,0.680036131053482,0,0,0.000225225225225225,"***"
"12","beta_Rt_cortex_Cux2_right18_X_Tns/Blk1",-0.210394389115886,-0.428225196391705,0.0670248010319302,0.0038121990369181,0.472712680577844,0.000403225806451613,"ns"
"13","baseline_cortex_Rt_Cux2_Tns/Blk2",2.83606608694962,2.54247601719195,2.98809606448144,0,0,0.000226244343891403,"***"
"14","beta_Rt_cortex_Cux2_right_X_Tns/Blk2",-0.027289052184324,-0.265930346299813,0.255196290992791,0.763242375601926,12.9751203852327,0.00294117647058824,"ns"
"15","beta_Rt_cortex_Cux2_18_X_Tns/Blk2",0.456658928773781,0.150253412758023,1.37914894414041,0.0104333868378812,1.18940609951846,0.00043859649122807,"ns"
"16","beta_Rt_cortex_Cux2_right18_X_Tns/Blk2",-0.0186664808932638,-0.653363457981827,0.297474517390305,0.906099518459069,5.43659711075441,0.00833333333333333,"ns"
"17","baseline_cortex_Rt_Cux2_Tns/Blk3",4.57324123013814,4.41746874715099,4.68603152898341,0,0,0.000227272727272727,"***"
"18","beta_Rt_cortex_Cux2_right_X_Tns/Blk3",0.179110417276125,0.021390199659826,0.379191187357954,0.000601926163723898,0.0848715890850696,0.000354609929078014,"ns"
"19","beta_Rt_cortex_Cux2_18_X_Tns/Blk3",1.24731840389318,1.14240625973316,1.46629919066961,0,0,0.000228310502283105,"***"
"20","beta_Rt_cortex_Cux2_right18_X_Tns/Blk3",-0.562206442785812,-0.811839269557043,-0.373587875674127,0,0,0.000229357798165138,"***"
"21","baseline_cortex_Rt_Fezf2_Tns/Blk1",3.80640320411021,3.54843984134941,3.91869556544624,0,0,0.000230414746543779,"***"
"22","beta_Rt_cortex_Fezf2_right_X_Tns/Blk1",0.0140982829125889,-0.165709909202883,0.229922328295363,0.830658105939005,9.96789727126806,0.00416666666666667,"ns"
"23","beta_Rt_cortex_Fezf2_18_X_Tns/Blk1",0.135410837180174,-0.0634848002764437,0.386639925999397,0.0510634028892456,4.13613563402889,0.000617283950617284,"ns"
"24","beta_Rt_cortex_Fezf2_right18_X_Tns/Blk1",-0.0880158046867648,-0.466534902003783,0.176134814469038,0.379313804173355,14.0346107544141,0.00135135135135135,"ns"
"25","baseline_cortex_Rt_Fezf2_Tns/Blk2",3.62470602189818,3.19224240486085,4.58870884581608,0,0,0.000231481481481481,"***"
"26","beta_Rt_cortex_Fezf2_right_X_Tns/Blk2",-0.044949409787566,-0.963935925755587,0.335477339973464,0.829052969502408,10.7776886035313,0.00384615384615385,"ns"
"27","beta_Rt_cortex_Fezf2_18_X_Tns/Blk2",0.404657643287131,-0.612434759262205,0.848614008023712,0.0490569823434992,4.07172953451043,0.000602409638554217,"ns"
"28","beta_Rt_cortex_Fezf2_right18_X_Tns/Blk2",-0.117682830348099,-0.647468760583951,0.804212897843757,0.599317817014446,13.7843097913323,0.00217391304347826,"ns"
"29","baseline_cortex_Rt_Fezf2_Tns/Blk3",4.6476293428416,3.6562013252866,4.85408082397369,0,0,0.000232558139534884,"***"
"30","beta_Rt_cortex_Fezf2_right_X_Tns/Blk3",0.246034024799711,-0.13730939848678,1.24637774988728,0.131320224719101,8.27317415730337,0.000793650793650794,"ns"
"31","beta_Rt_cortex_Fezf2_18_X_Tns/Blk3",0.479971124960322,0.233678105584726,1.46537047046922,0.0209670947030498,2.07574237560193,0.000505050505050505,"ns"
"32","beta_Rt_cortex_Fezf2_right18_X_Tns/Blk3",-0.495949476614622,-1.62660516487421,-0.0466963932821255,0.0331059390048154,3.04574638844302,0.000543478260869565,"ns"
"33","baseline_cortex_Rt_Fezf2_Tns/Blk4",2.13060749358908,2.02481098727609,2.18652574249471,0,0,0.000233644859813084,"***"
"34","beta_Rt_cortex_Fezf2_right_X_Tns/Blk4",0.0311978836715005,-0.0622698514111202,0.14728846160687,0.320525682182986,13.1415529695024,0.00121951219512195,"ns"
"35","beta_Rt_cortex_Fezf2_18_X_Tns/Blk4",0.0836587565547327,-0.03303557430298,0.21105294797829,0.0151484751203852,1.62088683788122,0.000467289719626168,"ns"
"36","beta_Rt_cortex_Fezf2_right18_X_Tns/Blk4",-0.0261940036065559,-0.180814828745192,0.105872442162043,0.57935393258427,14.4838483146067,0.002,"ns"
"37","baseline_cortex_Rt_Nxph3_Tns/Blk1",5.72127425157568,5.57270413809185,5.90455035644766,0,0,0.000234741784037559,"***"
"38","beta_Rt_cortex_Nxph3_right_X_Tns/Blk1",0.178469660438686,0.0132194337684418,0.377223496641749,0.000902889245585903,0.121890048154097,0.00037037037037037,"ns"
"39","beta_Rt_cortex_Nxph3_18_X_Tns/Blk1",0.324872653223112,0.117733944821894,0.488321968262789,0,0,0.000235849056603774,"***"
"40","beta_Rt_cortex_Nxph3_right18_X_Tns/Blk1",-0.227862521377696,-0.470805512268585,-0.00350249090115762,0.000601926163723898,0.0842696629213457,0.000357142857142857,"ns"
"41","baseline_cortex_Rt_Nxph3_Tns/Blk2",4.42719225236163,4.1275065810466,4.57741631662406,0,0,0.00023696682464455,"***"
"42","beta_Rt_cortex_Nxph3_right_X_Tns/Blk2",0.287694827533059,-0.0277061069713016,0.621663664706241,0.0017054574638844,0.221709470304972,0.000384615384615385,"ns"
"43","beta_Rt_cortex_Nxph3_18_X_Tns/Blk2",0.744153340977919,0.483676493877969,1.05300850805601,0,0,0.000238095238095238,"***"
"44","beta_Rt_cortex_Nxph3_right18_X_Tns/Blk2",-0.388633796664857,-0.759617271433019,0.0288316266101309,0.000802568218298605,0.109951845906909,0.000364963503649635,"ns"
